movie_id,genre
tt1620680,Fantasy
tt1620981,Comedy
tt1620981,Family
tt1633217,Comedy
tt1633217,Drama
tt1640605,Horror
tt1640605,Thriller
tt1646972,Thriller
tt1648190,Action
tt1648190,Adventure
tt1648190,Fantasy
tt1650060,Action
tt1650060,Adventure
tt1650060,Drama
tt1650535,Crime
tt1650535,Thriller
tt1653665,Drama
tt1661275,Comedy
tt1661275,Drama
tt1661275,Romance
tt1663222,Action
tt1663222,Adventure
tt1663222,Horror
tt1666185,Drama
tt1666187,Action
tt1666187,Adventure
tt1666187,Comedy
tt1667321,Drama
tt1667321,Romance
tt1667354,Drama
tt1674768,Crime
tt1674768,Drama
tt1677720,Action
tt1677720,Adventure
tt1677720,Sci-Fi
tt1680140,Action
tt1680140,Adventure
tt1680140,Drama
tt1682886,Drama
tt1682886,Romance
tt1690967,Drama
tt1691916,Drama
tt1691916,Fantasy
tt1691916,Mystery
tt1691924,Horror
tt1698655,Horror
tt1699518,Drama
tt1712192,Action
tt1712192,Thriller
tt1715751,Crime
tt1715751,Drama
tt1718924,Drama
tt1718998,Comedy
tt1720035,Action
tt1720035,Drama
tt1720035,Thriller
tt1720621,Drama
tt1720621,Thriller
tt1724970,Action
tt1724970,Adventure
tt1724970,Horror
tt1727396,Drama
tt1727497,Action
tt1727497,Crime
tt1727497,Drama
tt1727824,Drama
tt1734493,Action
tt1734493,Drama
tt1734493,Mystery
tt1736046,Horror
tt1740683,Drama
tt1748051,Thriller
tt1753786,Action
tt1753786,Adventure
tt1753786,Drama
tt1754316,Action
tt1754316,Drama
tt1754316,Thriller
tt1757831,Comedy
tt1757831,Horror
tt1758810,Crime
tt1758810,Drama
tt1758810,Mystery
tt1759744,Crime
tt1759744,Drama
tt1773753,Crime
tt1773753,Horror
tt1773753,Thriller
tt1774591,Drama
tt1774591,Thriller
tt1776097,Horror
tt1780790,Horror
tt1780790,Sci-Fi
tt1780790,Thriller
tt1780967,Drama
tt1780967,Thriller
tt1781058,Comedy
tt1781058,Drama
tt1785288,Drama
tt1785288,Thriller
tt1785635,Crime
tt1785635,Horror
tt1785635,Mystery
tt1790809,Action
tt1790809,Adventure
tt1790809,Fantasy
tt1791611,Action
tt1791611,Crime
tt1791611,Drama
tt1791687,Drama
tt1799516,Crime
tt1799516,Drama
tt1799516,Family
tt1800302,Crime
tt1800302,Drama
tt1801552,Crime
tt1801552,Drama
tt1806913,Action
tt1806913,Comedy
tt1806913,Fantasy
tt1824932,Drama
tt1825683,Action
tt1825683,Adventure
tt1825683,Sci-Fi
tt1826956,Action
tt1826956,Drama
tt1826956,Thriller
tt1833116,Crime
tt1833116,Drama
tt1837636,Adventure
tt1837636,Drama
tt1841642,Horror
tt1841642,Thriller
tt1843303,Action
tt1843303,Adventure
tt1843303,Comedy
tt1846589,Action
tt1846589,Thriller
tt1854582,Horror
tt1855282,Drama
tt1856101,Action
tt1856101,Drama
tt1856101,Mystery
tt1859476,Comedy
tt1859476,Drama
tt1860242,Crime
tt1860242,Drama
tt1863293,Drama
tt1869347,Crime
tt1869347,Drama
tt1869347,Mystery
tt1869491,Horror
tt1869491,Mystery
tt1869491,Thriller
tt1880399,Drama
tt1880415,Drama
tt1880415,Romance
tt1881109,Comedy
tt1881109,Drama
tt1884378,Mystery
tt1884378,Sci-Fi
tt1884378,Thriller
tt1895315,Drama
tt1895315,Mystery
tt1895315,Thriller
tt1901024,Crime
tt1901024,Drama
tt1901024,Thriller
tt1922544,Drama
tt1928334,Comedy
tt1928334,Drama
tt1934452,Horror
tt1934452,Mystery
tt1935089,Drama
tt1935089,Romance
tt1935194,Action
tt1935194,Thriller
tt1935897,Horror
tt1935897,Thriller
tt1937340,Drama
tt1937340,Romance
tt1946502,Adventure
tt1946502,Comedy
tt1950186,Action
tt1950186,Drama
tt1950235,Comedy
tt1950235,Romance
tt1961175,Action
tt1961175,Thriller
tt1966359,Comedy
tt1966359,Drama
tt1966385,Crime
tt1966385,Drama
tt1966385,Thriller
tt1967614,Comedy
tt1967614,Drama
tt1971310,Comedy
tt1971310,Drama
tt1971310,Romance
tt1972591,Action
tt1972591,Adventure
tt1972591,Drama
tt1977094,Sci-Fi
tt1977094,Thriller
tt1979376,Adventure
tt1979376,Comedy
tt1981128,Action
tt1981128,Sci-Fi
tt1981128,Thriller
tt1986202,Drama
tt1986202,Horror
tt1986202,Thriller
tt1987680,Comedy
tt1987680,Drama
tt1995458,Action
tt1995458,Comedy
tt1995458,Crime
tt1999890,Horror
tt1999995,Horror
tt1999995,Thriller
tt2002742,Comedy
tt2002742,Drama
tt2002742,Thriller
tt2011223,Comedy
tt2011223,Drama
tt2011223,Romance
tt2011311,Crime
tt2011311,Drama
tt2011311,Thriller
tt2018069,Drama
tt2018069,Horror
tt2018069,Sci-Fi
tt2018111,Drama
tt2024521,Drama
tt2034176,Action
tt2034176,Horror
tt2034176,Thriller
tt2034800,Action
tt2034800,Adventure
tt2034800,Fantasy
tt2039338,Drama
tt2039338,Horror
tt2039338,Mystery
tt2039380,Adventure
tt2039380,Sci-Fi
tt2039412,Drama
tt2039412,Mystery
tt2039412,Thriller
tt2042692,Drama
tt2042692,Mystery
tt2042692,Thriller
tt2049518,Comedy
tt2049518,Horror
tt2049518,Thriller
tt2050452,Drama
tt2051850,Action
tt2051850,Drama
tt2062700,Drama
tt2062700,Romance
tt2066051,Drama
tt2069797,Horror
tt2069797,Thriller
tt2072233,Action
tt2072233,Crime
tt2072233,Thriller
tt2073600,Drama
tt2076826,Comedy
tt2088950,Drama
tt2088950,Thriller
tt2090465,Mystery
tt2090465,Thriller
tt2091256,Action
tt2091256,Comedy
tt2094195,Crime
tt2094195,Drama
tt2094195,Mystery
tt2098669,Drama
tt2114504,Comedy
tt2114504,Family
tt2119532,Drama
tt2119543,Comedy
tt2119543,Fantasy
tt2119543,Horror
tt2125650,Horror
tt2125650,Mystery
tt2125650,Thriller
tt2126357,Comedy
tt2126357,Drama
tt2126357,Romance
tt2139881,Comedy
tt2139881,Romance
tt2140507,Drama
tt2140629,Comedy
tt2140629,Thriller
tt2149360,Drama
tt2149360,Horror
tt2149360,Thriller
tt2150177,Action
tt2150177,Comedy
tt2150177,Drama
tt2155399,Drama
tt2157045,Horror
tt2157045,Mystery
tt2157045,Thriller
tt2160105,Fantasy
tt2160105,Thriller
tt2170667,Drama
tt2179155,Comedy
tt2179231,Comedy
tt2179734,Crime
tt2179734,Drama
tt2179734,Thriller
